Feature,Mean_SHAP
balance_error_org,0.2306123280186513
newbalanceOrig,0.10743240784461204
oldbalanceOrg,0.05987907081793762
type,0.0401437652948067
amount,0.039865377694863084
merchant_type,0.03570163771989663
oldbalanceDest,0.018958835679582908
balance_error_dest,0.017891551239136466
newbalanceDest,0.016969523807023573
step,0.014630779647814413
transaction_hour,0.009165435607170825
transaction_day,0.0078050853420026855
transaction_week,0.002806877421589849
account_tenure_months,0.0012755267316166773
isFlaggedFraud,0.0010827005291548315
age_group,0.0006313519852390568
channel,0.00046947378494208093
risk_region,0.00042347572832093035
device_type,0.00033672582364662775
customer_segment,0.00025925566357555015
customer_type,0.0
